apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,days,dewPoint,humidity,icon,locations,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,summary,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
50.46,1485961200,42.53,1485907200,0.95,2017-01-31,48.09,0.96,fog,9be000ae23275d57e1273d211a54ffd7,0.15,NaN,NaN,NaN,NaN,NaN,rain,1006.49,Foggy in the morning.,1485934901,1485967844,50.46,1485961200,46.65,1485907200,1485907200,4.39,173,8.52
51.1,1486047600,42.8,1486018800,0.8,2017-02-01,47.03,0.9,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.19,NaN,NaN,NaN,NaN,NaN,rain,996.95,Mostly cloudy throughout the day.,1486021207,1486054355,51.1,1486047600,48.01,1486018800,1485993600,6.73,173,14.22
44.42,1486126800,31.72,1486159200,0.65,2017-02-02,41.89,0.86,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.23,NaN,NaN,NaN,NaN,NaN,rain,994.66,Mostly cloudy throughout the day.,1486107511,1486140865,49.72,1486126800,39.57,1486162800,1486080000,7.2,175,11.07
44.77,1486220400,32.39,1486166400,0.23,2017-02-03,36.8,0.89,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.27,NaN,NaN,NaN,NaN,NaN,rain,997.22,Partly cloudy until afternoon.,1486193814,1486227376,47.23,1486220400,35.52,1486188000,1486166400,7.47,188,3.3
34.89,1486306800,32.69,1486278000,0.49,2017-02-04,37.55,0.95,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.3,NaN,NaN,NaN,NaN,NaN,rain,1003.64,Mostly cloudy throughout the day.,1486280114,1486313888,40.84,1486306800,37.03,1486278000,1486252800,5.31,25,3.99
39.93,1486389600,31.39,1486350000,0.31,2017-02-05,35.86,0.9,partly-cloudy-night,9be000ae23275d57e1273d211a54ffd7,0.34,NaN,NaN,NaN,NaN,NaN,rain,1017.2,Mostly cloudy starting in the afternoon.,1486366413,1486400399,44.36,1486389600,32.72,1486364400,1486339200,4.85,163,3.81
45.7,1486476000,32.85,1486425600,0.52,2017-02-06,39.52,0.89,fog,9be000ae23275d57e1273d211a54ffd7,0.38,NaN,NaN,NaN,NaN,NaN,rain,1014.23,Foggy in the morning.,1486452710,1486486911,48.87,1486476000,38.09,1486504800,1486425600,5.12,213,0.72
36.71,1486515600,30.18,1486594800,0.89,2017-02-07,35.25,0.9,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.41,NaN,NaN,NaN,NaN,NaN,rain,1026.15,Mostly cloudy throughout the day.,1486539005,1486573422,39.48,1486515600,35.42,1486594800,1486512000,4.7,22,5.37
28.1,1486648800,26.16,1486670400,1.0,2017-02-08,31.23,0.89,fog,9be000ae23275d57e1273d211a54ffd7,0.45,NaN,NaN,NaN,NaN,NaN,rain,1027.84,Foggy overnight.,1486625299,1486659934,35.11,1486648800,33.52,1486681200,1486598400,4.96,50,7.82
27.62,1486742400,25.62,1486764000,0.89,2017-02-09,32.14,0.94,fog,9be000ae23275d57e1273d211a54ffd7,0.49,NaN,NaN,NaN,NaN,NaN,snow,1024.05,Foggy until afternoon.,1486711591,1486746445,34.48,1486742400,32.72,1486749600,1486684800,2.49,23,8.03
27.95,1486850400,24.46,1486800000,1.0,2017-02-10,32.21,0.94,fog,9be000ae23275d57e1273d211a54ffd7,0.52,NaN,NaN,NaN,NaN,NaN,snow,1022.61,Foggy until afternoon.,1486797881,1486832957,35.39,1486850400,31.97,1486800000,1486771200,2.71,12,8.41
33.08,1486940400,25.69,1486882800,0.99,2017-02-11,34.7,0.94,fog,9be000ae23275d57e1273d211a54ffd7,0.55,NaN,NaN,NaN,NaN,NaN,rain,1022.64,Foggy starting in the evening.,1486884170,1486919468,40.66,1486940400,33.69,1486882800,1486857600,2.2,60,10.56
41.75,1486994400,29.96,1486969200,0.07,2017-02-12,36.87,0.85,fog,9be000ae23275d57e1273d211a54ffd7,0.59,NaN,NaN,NaN,NaN,NaN,rain,1022.11,Foggy in the morning.,1486970458,1487005980,48.04,1486994400,37.99,1486969200,1486944000,3.2,83,14.03
50.06,1487080800,29.54,1487044800,0.41,2017-02-13,38.45,0.83,partly-cloudy-night,9be000ae23275d57e1273d211a54ffd7,0.62,NaN,NaN,NaN,NaN,NaN,rain,1023.32,Mostly cloudy throughout the day.,1487056744,1487092491,50.06,1487080800,36.75,1487055600,1487030400,5.38,113,8.23
51.64,1487163600,40.73,1487199600,0.63,2017-02-14,45.6,0.94,fog,9be000ae23275d57e1273d211a54ffd7,0.65,NaN,NaN,NaN,NaN,NaN,rain,1027.61,Foggy in the morning.,1487143028,1487179002,51.64,1487163600,45.27,1487199600,1487116800,4.9,183,6.43
51.16,1487257200,38.65,1487228400,0.43,2017-02-15,42.6,0.87,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.68,NaN,NaN,NaN,NaN,NaN,rain,1029.27,Mostly cloudy until evening.,1487229312,1487265513,51.16,1487257200,42.42,1487224800,1487203200,7.01,239,8.16
52.93,1487343600,38.8,1487372400,0.41,2017-02-16,42.96,0.86,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.71,NaN,NaN,NaN,NaN,NaN,rain,1027.68,Mostly cloudy until afternoon.,1487315594,1487352023,52.93,1487343600,42.33,1487372400,1487289600,6.98,242,4.97
51.39,1487433600,36.58,1487383200,0.54,2017-02-17,41.39,0.89,fog,9be000ae23275d57e1273d211a54ffd7,0.74,NaN,NaN,NaN,NaN,NaN,rain,1025.05,Foggy in the morning.,1487401875,1487438534,51.39,1487433600,40.43,1487458800,1487376000,4.4,206,6.7
51.83,1487516400,34.77,1487466000,0.59,2017-02-18,43.01,0.89,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.77,NaN,NaN,NaN,NaN,NaN,rain,1022.22,Mostly cloudy until evening.,1487488154,1487525044,51.83,1487516400,39.09,1487469600,1487462400,5.87,245,7.67
59.87,1487599200,44.67,1487559600,0.66,2017-02-19,49.8,0.88,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.8,NaN,NaN,NaN,NaN,NaN,rain,1018.47,Mostly cloudy throughout the day.,1487574433,1487611554,59.87,1487599200,48.72,1487563200,1487548800,6.46,257,11.47
54.15,1487682000,45.07,1487660400,0.87,2017-02-20,48.64,0.9,wind,9be000ae23275d57e1273d211a54ffd7,0.83,NaN,NaN,NaN,NaN,NaN,rain,1015.67,Mostly cloudy throughout the day and breezy overnight.,1487660710,1487698063,54.15,1487682000,49.27,1487656800,1487635200,6.95,249,12.4
54.53,1487761200,50.53,1487804400,0.93,2017-02-21,48.33,0.86,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.86,NaN,NaN,NaN,NaN,NaN,rain,1007.87,Mostly cloudy throughout the day.,1487746986,1487784572,54.53,1487761200,50.53,1487804400,1487721600,7.28,248,16.82
50.71,1487808000,32.84,1487890800,0.68,2017-02-22,40.09,0.76,wind,9be000ae23275d57e1273d211a54ffd7,0.89,NaN,NaN,NaN,NaN,NaN,rain,997.73,Windy and mostly cloudy until evening.,1487833261,1487871081,50.71,1487808000,40.19,1487890800,1487808000,7.45,258,21.0
42.76,1487948400,29.4,1487919600,0.21,2017-02-23,32.18,0.71,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.93,NaN,NaN,NaN,NaN,NaN,rain,1015.78,Partly cloudy until afternoon.,1487919535,1487957590,46.83,1487948400,36.7,1487919600,1487894400,8.05,281,8.21
43.52,1488027600,35.32,1487980800,0.68,2017-02-24,41.97,0.86,cloudy,9be000ae23275d57e1273d211a54ffd7,0.96,NaN,NaN,NaN,NaN,NaN,rain,1013.2,Overcast until evening.,1488005808,1488044098,49.36,1488027600,40.63,1487980800,1487980800,7.39,217,13.91
51.72,1488110400,41.55,1488150000,0.79,2017-02-25,45.61,0.87,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.99,NaN,NaN,NaN,NaN,NaN,rain,1005.48,Mostly cloudy until evening.,1488092081,1488130606,51.72,1488110400,47.21,1488150000,1488067200,6.97,222,15.06
41.53,1488157200,30.75,1488236400,0.5,2017-02-26,40.4,0.89,partly-cloudy-day,9be000ae23275d57e1273d211a54ffd7,0.03,NaN,NaN,NaN,NaN,NaN,rain,989.96,Mostly cloudy throughout the day.,1488178352,1488217114,46.73,1488157200,37.36,1488236400,1488153600,7.61,212,11.4
36.7,1488322800,27.31,1488265200,0.54,2017-02-27,35.07,0.85,partly-cloudy-night,9be000ae23275d57e1273d211a54ffd7,0.06,NaN,NaN,NaN,NaN,NaN,rain,988.31,Mostly cloudy in the morning.,1488264622,1488303621,44.46,1488322800,34.02,1488265200,1488240000,7.73,246,11.38
42.75,1488376800,33.79,1488409200,0.66,2017-02-28,38.56,0.83,wind,9be000ae23275d57e1273d211a54ffd7,0.1,NaN,NaN,NaN,NaN,NaN,rain,998.05,Mostly cloudy throughout the day and breezy overnight.,1488350892,1488390128,47.22,1488376800,39.76,1488348000,1488326400,7.55,244,9.53
42.75,1486990800,28.22,1486965600,0.11,2017-02-12,37.03,0.89,clear-day,a35e427b4130be7b2a892e286f0ebb91,0.59,NaN,0.0,0.0,NaN,0.0,NaN,1024.27,Clear throughout the day.,1486970414,1487005802,48.83,1486990800,36.96,1486969200,1486944000,3.4,83,13.99
50.94,1487080800,28.58,1487044800,0.24,2017-02-13,38.57,0.86,partly-cloudy-night,a35e427b4130be7b2a892e286f0ebb91,0.62,NaN,0.0,0.0,NaN,0.0,NaN,1024.27,Mostly cloudy starting in the afternoon.,1487056698,1487092315,50.94,1487080800,36.06,1487055600,1487030400,4.91,118,8.71
